Team,Player,Positions,Injury
Mayor of Titty-City,Jason Adam,"P,RP,BE,IL",FIFTEEN_DAY_DL
Mayor of Titty-City,Kevin Kelly,"P,RP,BE,IL",ACTIVE
Mayor of Titty-City,JJ Bleday,"CF,RF,OF,UTIL,BE,IL,LF",ACTIVE
Mayor of Titty-City,Tyler Rogers,"P,RP,BE,IL",ACTIVE
Mayor of Titty-City,Jacob Latz,"P,SP,RP,BE,IL",ACTIVE
Mayor of Titty-City,Tatsuya Imai,"P,SP,BE,IL",ACTIVE
Mayor of Titty-City,Joey Cantillo,"P,SP,RP,BE,IL",ACTIVE
Mayor of Titty-City,JoJo Romero,"P,RP,BE,IL",ACTIVE
yahtzee BEEZNUTZ,Bobby Witt Jr.,"SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
yahtzee BEEZNUTZ,Ketel Marte,"2B,2B/SS,IF,DH,UTIL,BE,IL",ACTIVE
yahtzee BEEZNUTZ,Manny Machado,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
yahtzee BEEZNUTZ,William Contreras,"C,DH,UTIL,BE,IL",ACTIVE
yahtzee BEEZNUTZ,Jarren Duran,"LF,CF,OF,UTIL,BE,IL",ACTIVE
yahtzee BEEZNUTZ,Randy Arozarena,"LF,OF,UTIL,BE,IL",ACTIVE
yahtzee BEEZNUTZ,Oneil Cruz,"CF,OF,UTIL,BE,IL",TEN_DAY_DL
yahtzee BEEZNUTZ,Jacob Misiorowski,"P,SP,BE,IL",DAY_TO_DAY
yahtzee BEEZNUTZ,Mike Trout,"RF,OF,DH,UTIL,BE,IL,CF",ACTIVE
yahtzee BEEZNUTZ,Aaron Nola,"P,SP,BE,IL",ACTIVE
yahtzee BEEZNUTZ,Alec Burleson,"1B,1B/3B,IF,LF,RF,OF,DH,UTIL,BE,IL",ACTIVE
yahtzee BEEZNUTZ,Mitch Keller,"P,SP,BE,IL",ACTIVE
yahtzee BEEZNUTZ,Gavin Williams,"P,SP,BE,IL",ACTIVE
yahtzee BEEZNUTZ,MacKenzie Gore,"P,SP,BE,IL",ACTIVE
yahtzee BEEZNUTZ,Cade Horton,"P,SP,BE,IL",SIXTY_DAY_DL
yahtzee BEEZNUTZ,Sandy Alcantara,"P,SP,BE,IL",ACTIVE
yahtzee BEEZNUTZ,Roki Sasaki,"P,SP,BE,IL",ACTIVE
yahtzee BEEZNUTZ,Noelvi Marte,"3B,1B/3B,IF,RF,OF,UTIL,BE,IL",ACTIVE
yahtzee BEEZNUTZ,Ezequiel Tovar,"SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
yahtzee BEEZNUTZ,Kodai Senga,"P,SP,BE,IL",ACTIVE
yahtzee BEEZNUTZ,Gabriel Moreno,"C,UTIL,BE,IL",ACTIVE
yahtzee BEEZNUTZ,Jeimer Candelario,"1B,3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
yahtzee BEEZNUTZ,Chris Bassitt,"P,SP,BE,IL",FIFTEEN_DAY_DL
yahtzee BEEZNUTZ,Bryce Miller,"P,SP,BE,IL",ACTIVE
yahtzee BEEZNUTZ,Dustin May,"P,SP,BE,IL",ACTIVE
yahtzee BEEZNUTZ,Colt Emerson,"SS,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
yahtzee BEEZNUTZ,Luis Arraez,"1B,1B/3B,IF,DH,UTIL,BE,IL,2B,2B/SS",ACTIVE
yahtzee BEEZNUTZ,Zach McKinstry,"3B,SS,2B/SS,1B/3B,IF,RF,OF,UTIL,BE,IL,2B",ACTIVE
